prefixes;name;memberId
10.1115;ASME International;33
10.54358;Institute of Economic and Legal Studies;32803
10.1124;American Society for Pharmacology & Experimental Therapeutics (ASPET);36
10.54490;Yayasan Perludem;32804
10.1104, 10.1105, 10.46678;American Society of Plant Biologists (ASPB);37
10.54781;Department of Brahui, University of Balochistan, Quetta;32805
10.54363;Akademi Refraksi Optisi dan Optometry Gapopin;32806
10.54364;Advances in Artificial Intelligence and Machine Learning;32807
10.54367;Universitas Katolik Santo Thomas;32809
10.1302;British Editorial Society of Bone & Joint Surgery;42
10.54369;Sekolah Tinggi Theologi Indonesia Manado;32810
10.54366;Vivekanand Education Society Institute of Management Studies and Research;32811
10.54368;Quing Publications;32812
10.1259;British Institute of Radiology;45
10.1066;Blackhorse Publishing;46
10.54372;Instituto Integrado de Ciencia e Tecnologia - IN2;32814
10.54371;Ainara;32815
10.58649;Kyrgyz National University J. Balasagyn;32816
10.54373;Lembaga Intelektual Muda Maluku;32817
10.2959, 10.1163;Brill;50
10.56068;National EMS Management Association;32818
10.54418;Area Study Centre (Russia, China & Central Asia);32819
10.7135, 10.3815, 10.5949, 10.1375, 10.7313, 10.1154, 10.4039, 10.5948, 10.1017, 10.33774;Cambridge University Press (CUP);56
10.54386;Association of Agrometeorologists;32827
10.54387;Politeknik LPP;32828
10.54532;The Skeptics' Guide to Emergency Medicine;32829
10.54384;Badan Pengawas Obat dan Makanan;32830
10.1346;Clay Minerals Society;63
10.54382;Korean Association of Rational Emotive and Cognitive Behavior Therapy;32831
10.54385;Asia Cultural Creativity Institute;32832
10.54381;Institute of Control Systems;32834
10.1071;CSIRO Publishing;67
10.54644;Ho Chi Minh City University of Technology and Education;32836
10.1349;Dartmouth College Library Press;69
10.54388;Karary University;32838
10.4023, 10.1358, 10.14322;Clarivate;71
10.54455;Mada Center;32839
10.1045;CNRI Acct;72
10.54554;Penerbit Universiti Teknikal Malaysia Melaka Press;32840
10.1215;Duke University Press;73
10.54434;Canadian Association of Naturopathic Doctors;32841
10.1193;Earthquake Engineering Research Institute;75
10.1149;The Electrochemical Society;77
10.1529, 10.14219, 10.1367, 10.1205, 10.1006, 10.2139, 10.3921, 10.3129, 10.1602, 10.1580, 10.1240, 10.1383, 10.7424, 10.1067, 10.21967, 10.2111, 10.2353, 10.3182, 10.3816, 10.1157, 10.1533, 10.1016, 10.1378, 10.7811, 10.4065, 10.1197, 10.1054, 10.1053, 10.1331, 10.1078, 10.25013;Elsevier BV;78
10.15252;EMBO;79
10.54400;Editora Barlavento;32847
10.1210;The Endocrine Society;80
10.1183;European Respiratory Society (ERS);81
10.54397;Revista Cientifica da FAMINAS;32849
10.54398;Astrakhan State University;32850
10.54399;Fundacao de Apoio a Pesquisa, Tecnologia e Inovacao;32851
10.54514;LYRASIS;32852
10.54406;Korea National Park Research Institute;32855
10.54402;Dohara Publisher Open Access Journal;32856
10.1374;Gallaudet University Press (Project Muse);92
10.1365;Springer Fachmedien Wiesbaden GmbH;93
10.54403;Pusat Studi Pentakosta Indonesia;32861
10.54469;Rabbinical Council of America;32862
10.54583;Balai Diklat Keagamaan Medan;32863
10.54581;Psi Beta;32864
10.54515;Panstwowa Akademia Nauk Stosowanych w Chelmie;32865
10.7167, 10.1100, 10.1155, 10.5402, 10.7217, 10.4061, 10.6064, 10.3814;Hindawi Limited;98
10.54458;Micro Eviorner;32866
10.54408;PT. Equator Sinar Akademia;32867
10.54548;Physiological Society of Nigeria;32868
10.1123;Human Kinetics;100
10.54407;Donetsk National Technical University (DonNTU);32869
10.1024, 10.1027, 10.1026;Hogrefe Publishing Group;101
10.1377;Health Affairs (Project Hope);102
10.54492;International Journal of Current Medical and Biological Science;32870
10.1138;International Bone & Mineral Society;103
10.54411;STIKES Borneo Cendekia Medika;32871
10.54412;NAS RA Institute of Language after H. Acharyan;32872
10.54409;Association for Standardization and Accreditation in Paramedic Education;32873
10.1214;Institute of Mathematical Statistics;108
10.1287;Institute for Operations Research and the Management Sciences (INFORMS);109
10.1135;Institute of Organic Chemistry & Biochemistry;111
10.1355;ISEAS - Yusof Ishak Institute;112
10.54423;Perkumpulan Dosen Peneliti dan Penulis Indonesia (KODEPENA);32880
10.1351;International Union of Pure and Applied Chemistry (IUPAC);113
10.1274;Japanese Society of  Mammalian Ova Research;116
10.54422;"Institution &quot;Scientific and Research Institute of Fire Safety and Emergency Situations&quot; of the Ministry for Emergency Situations of the Republic of Belarus";32884
10.1294;Japan Society of Equine Science;118
10.1291;Japanese Society of Hypertension;119
10.54424;Association for Theological Education in Southeast Asia;32887
10.1298;Japanese Physical Therapy Association;120
10.54425;Competition Commission of India;32888
10.1293;Japanese Society of Toxicologic Pathology;121
10.54439;Guncel Pazarlama Yaklasimlari ve Arastirmalari Dergisi;32890
10.1292;Japanese Society of Veterinary Science;122
10.1269;Japan Radiation Research Society;123
10.54437;STIT Al-Urwatul Wutsqo Jombang;32892
10.1299;Japan Society of Mechanical Engineers;124
10.1297;Japanese Society for Pediatric Endocrinology;125
10.54438;Sekolah Tinggi Keguruan dan Ilmu Pendidikan Banten;32894
10.1159;S. Karger AG;127
10.54431;Journal of Social Intervention Theory and Practice;32897
10.1310;Thomas Land Publishers;130
10.54444;Sekolah Tinggi Ilmu Kesehatan Adila di Kota Bandar Lampung;32900
10.54441;Korean Intraoperative Neuromonitoring Society;32901
10.54442;Integrated Business Faculty;32902
10.54440;Universitas Bhakti Kencana Tasikmalaya;32903
10.54443;CV. Radja Publika;32904
10.1134;Pleiades Publishing Ltd;137
10.54470;Khulna University, Urban and Rural Planning Discipline;32905
10.54446;Boletim Campineiro de Geografia;32906
10.54445;LPPM-KI Akademi Analis Farmasi dan Makanan & Akademi Farmasi Putra Indonesia Malang;32907
10.5042, 10.35241, 10.1108;Emerald;140
10.54448;Zotarelli-Filho Scientific Works;32908
10.1092;Metapress;141
10.54449;Publishing house VKN;32909
10.54447;Vereniging voor Nederlandse Ontwikkelings-Psychologie (VNOP);32910
10.1307;Michigan Mathematical Journal;143
10.54451;Instituto de Ecologia y Ciencias Ambientales (IECA);32911
10.54450;Society of Radiographers of South Africa;32912
10.54636;Calvary Baptist Theological Seminary;32913
10.13186, 10.1353, 10.7588, 10.56021, 10.5403, 10.5699, 10.26597;Project Muse;147
10.1305;Notre Dame Journal of Formal Logic;149
10.1056;Massachusetts Medical Society;150
10.54453;Turkish Society of Microbiology;32918
10.54457;Beijing Clintile Information Technology (Hong Kong) Co., Limited;32919
10.54462;Kadim;32920
10.54460;Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Lhokseumawe;32921
10.54461;Korean Medical Society of Soft Tissue;32922
10.1139;Canadian Science Publishing;155
10.54463;Jurusan Teknik Elektro Politeknik Negeri Ambon;32923
10.54464;The Neurofibromatosis Therapeutic Acceleration Program;32924
10.54459;STAI An-Nadwah Kuala Tungkal;32925
10.54475;Pioneer Publications;32926
10.54476;International Organization of Educators and Researchers Inc.;32927
10.1376;Penn State Press (Project Muse);160
10.54516;The Chromatographic Society;32928
10.54489;Global Academic Forum on Technology, Innovation And Management (GAFTIM);32929
10.18578, 10.1211;Royal Pharmaceutical Society;162
10.54520;The Independent Research Institute of Mongolia;32930
10.1248;Pharmaceutical Society of Japan;163
10.1068;Pion Ltd;164
10.56687, 10.46692, 10.1332, 10.47674, 10.51952;Bristol University Press;165
10.54467;Turkish Journal of Applied Social Work;32935
10.54468;State Research Institute of Organic Chemistry and Technology;32936
10.54466;Editora SORIAN;32937
10.1192;Royal College of Psychiatrists;170
10.54521;FOI-Commerce;32938
10.1308;Royal College of Surgeons of England;171
10.54473;International Journal of Trendy Research In Engineering and Technology;32940
10.55399;International School of Informatics and Management Jaipur;32942
10.54478;Udruga kineziologa Rijeka;32943
10.1098;The Royal Society;175
10.54517;Asia Pacific Academy of Science Pte. Ltd.;32944
10.1528, 10.1606, 10.12679, 10.3821, 10.4137, 10.1345, 10.2511, 10.1106, 10.1622, 10.1369, 10.4219, 10.14240, 10.4135, 10.5126, 10.5367, 10.5301, 10.1243, 10.7182, 10.2190, 10.47515, 10.3818, 10.2968, 10.47594, 10.1630, 10.1354, 10.1258, 10.15256, 10.3317, 10.31124, 10.5034, 10.2182, 10.17322, 10.5153, 10.1177, 10.2189, 10.1191, 10.5193;SAGE Publications;179
10.1366;Society for Applied Spectroscopy;180
10.1127;Schweizerbart;181
10.54479;BSE Press;32949
10.54481;Free International University of Moldova;32950
10.1189;Society for Leukocyte Biology;183
10.54482;Yayasan Inovasi Substansial Indonesia (SISIA);32951
10.54484;Pusat Penelitian dan Pengabdian Pada Masyarakat, Politeknik Negeri Nusa Utara;32953
10.7462, 10.4133, 10.1190;Society of Exploration Geophysicists;186
10.54483;Southern African Institute of Government Auditors;32954
10.1122;Society of Rheology;187
10.54562, 10.36198;utb GmbH;32956
10.1117;SPIE-Intl Soc Optical Eng;189
10.54604;Institut Agama Islam Negeri Takengon;32957
10.54522;The Vascular Society of Great Britain and Ireland;32958
10.1076;Swets & Zeitlinger Publishers;191
10.1296;Techno-Press;192
10.55750;Faculty of Social and Basic Sciences, Mohammad Ali Jinnah University;32960
10.15265, 10.1160, 10.5482, 10.1055, 10.3413, 10.12687, 10.3414, 10.4338, 10.15654, 10.3415, 10.15653;Georg Thieme Verlag KG;194
10.54488;Canada Research Chair in Interpersonal Traumas and Resilience;32962
10.54494;Korea Petroglyphs Research Association;32965
10.54493;TROAS Uluslararasi Turizm Arastirmalari Dernegi;32966
10.54680;CryoLetters Limited Liability Partnership;32967
10.5950, 10.1086, 10.7208;University of Chicago Press;200
10.54500;"NpJSC &quot;Astana Medical University&quot;";32972
10.1347;Uitgeverij Boom;204
10.54501;Stanford Internet Observatory;32973
10.54502;Unidad Central del Valle del Cauca;32974
10.1522;Universite du Quebec a Chicoutimi;208
10.54507;Ministerio da Infraestrutura;32976
10.54977;University of Massachusetts Global;32978
10.54531;Adi Health+Wellness;32979
10.54506;The Wroblewski Library of the Lithuanian Academy of Sciences;32980
10.54536;E-palli;32981
10.54504;"Professional Medical Association of Osteopathy and Manual Medicine Specialists &quot;Association of Osteopaths&quot;";32982
10.34916;STUDIO NOA;32984
10.1372;College Literature (Project Muse);217
10.54509;Kuzbass Regional Institute for Vocational Education Development;32986
10.1142;World Scientific Pub Co Pte Ltd;219
10.54508;Universitatea de Arhitectura si Urbanism Ion Mincu;32988
10.54664;"&quot;St. Cyril and St. Methodius&quot; University of Veliko Tarnovo";32989
10.1126, 10.34133;American Association for the Advancement of Science (AAAS);221
10.1373, 10.15428;American Association for Clinical Chemistry (AACC);222
10.54560;The Journal of Risk Analysis and Crisis Response;32991
10.1352;American Association on Intellectual and Developmental Disabilities (AAIDD);223
10.37206;American Association of Physicists in Medicine (AAPM);224
10.54513;Veda Publications;32992
10.29357;Eastern European Institute of Theology;32994
10.54616;International Engineering and Science Publications (IES);32995
10.1206;American Museum of Natural History (BioOne sponsored);229
10.1176;American Psychiatric Association Publishing;230
10.1121;Acoustical Society of America (ASA);231
10.1172;American Society for Clinical Investigation;232
10.54588;Fundacion ProAves de Colombia;33000
10.14694, 10.1200;American Society of Clinical Oncology (ASCO);233
10.54614;Cordus;33001
10.1182;American Society of Hematology;234
10.54609;Pro Global Science Association;33002
10.1128;American Society for Microbiology;235
10.55139;Hospital Clinica Biblica;33004
10.1242, 10.31981;The Company of Biologists;237
10.54561;Center for Study of Religion and Religious Tolerance;33005
10.54670;FCA PACTOR Editores, Lda.;33006
10.1783, 10.1136;BMJ;239
10.56838;Clinica Internacional;33007
10.1079, 10.12774, 10.31220;CABI Publishing;242
10.1273;Chem-Bio Informatics Society;245
10.54527;The Korean Academy of Implant Dentistry;33013
10.54524;BATHINVS Association;33014
10.1261, 10.1110, 10.1101, 10.14224;Cold Spring Harbor Laboratory;246
10.54523;The Korea Academy of Global Business and Trade;33016
10.54526;Sekolah Tinggi Ilmu Ekonomi Pontianak;33017
10.1051, 10.9742, 10.2516, 10.2515;EDP Sciences;250
10.54525;Turkiye Bilisim Vakfi;33018
10.5696, 10.1289;Environmental Health Perspectives;252
10.3792;Project Euclid;253
10.54529;The Algerian Journal of Mass Media and Public Opinion research;33021
10.54528;Abhath;33022
10.1382;Fibre Diffraction Review;254
10.54586;Societas Celto-Slavica;33023
10.1130;Geological Society of America;257
10.54646;BOHR Publishers;33025
10.54535;Research on Education and Psychology;33027
10.1363;Guttmacher Institute;259
10.54897;Kommission fur bayerische Landesgeschichte bei der Bayerischen Akademie der Wissenschaften;33029
10.54729;Beirut Arab University;33030
10.1109, 10.30941, 10.21629, 10.47962, 10.23919, 10.15325, 10.36227;Institute of Electrical and Electronics Engineers (IEEE);263
10.1616;IFIS Publishing;264
10.54537;Turkiye Saglik Enstituleri Baskanligi;33032
10.1049;Institution of Engineering and Technology (IET);265
10.35848, 10.1209, 10.1088, 10.1238, 10.1070;IOP Publishing;266
10.54590;Canadian Institute for Studies in Publishing;33034
10.1303;Japanese Society of Applied Entomology & Zoology;268
10.54538;Public Health Association of Tajikistan;33036
10.1271;Japan Society for Bioscience, Biotechnology, and Agrochemistry;269
10.54541;Aprender en Red;33037
10.1357;Journal of Marine Research/Yale;270
10.54540;Institute of Social Sciences, Incheon National University;33038
10.54539;Panstwowa Uczelnia Zawodowa im. Ignacego Moscickiego w Ciechanowie;33039
10.1270;Japanese Society of Breeding;271
10.1241, 10.52926;Japan Science and Technology Agency (JST);272
10.54542;INBRAEDH - Instituto Brasileiro de Educacao e Desenvolvimento Humano;33041
10.54546;Joint Institute for Nuclear Research;33042
10.54543;Rifa Institute;33043
10.1519, 10.14309, 10.1212, 10.11124, 10.1288, 10.1203, 10.2215, 10.34067, 10.1213, 10.5435, 10.1227, 10.1249, 10.2459, 10.2106, 10.1161, 10.1097, 10.3760, 10.46986;Ovid Technologies (Wolters Kluwer Health);276
10.54544;Imago.by - Old maps and prints;33044
10.54545;Korea Society of Public Design;33045
10.54607;Ho Chi Minh University of Education;33046
10.1089;Mary Ann Liebert Inc;278
10.1162, 10.7551, 10.31859;MIT Press;281
10.1260;Multi-Science Publishing Co. Ltd.;282
10.1151;NIDA/RTI International;283
10.1364;Optica Publishing Group;285
10.1093, 10.3382, 10.5740, 10.2146, 10.1534;Oxford University Press (OUP);286
10.1042;Portland Press Ltd.;288
10.54655;Universidad Nacional Ciro Alegria;33057
10.1368;The Society of Protozoologists;290
10.54557;KTO Karatay University;33058
10.1083, 10.1085, 10.1084, 10.47673;Rockefeller University Press;291
10.25993;Fersman Mineralogical Museum of the Russian Academy of Sciences;33060
10.1039;Royal Society of Chemistry (RSC);292
10.54824;Research Institute of Crop Husbandry;33061
10.1360;Science China Press., Co. Ltd.;294
10.54669;Center for Religion, Culture and Democracy;33062
10.54823;Shackleton Research Trust Corp;33063
10.1290;Society for In Vitro Biology;296
10.1208, 10.19150, 10.1245, 10.7603, 10.1007, 10.17269, 10.4076, 10.7123, 10.1140, 10.1381, 10.33283, 10.4333, 10.1186, 10.1065, 10.1361, 10.4056, 10.1023, 10.1385, 10.26778, 10.26777, 10.5819, 10.1617, 10.1013, 10.1057, 10.1379, 10.1038, 10.1114, 10.3758, 10.1557, 10.3858, 10.2165, 10.1251, 10.5052;Springer Science and Business Media LLC;297
10.54653;Petroleum Engineering School, Southwest Petroleum University;33066
10.1295;Society of Polymer Science, Japan;298
10.1380;Surface Science Society Japan;299
10.54681;Masaryk Institute and Archives of the Czech Academy of Sciences;33067
10.54778;Sociedad Argentina de Medicina Reproductiva;33068
10.3826, 10.1586, 10.1201, 10.1300, 10.3763, 10.2753, 10.3109, 10.1623, 10.1887, 10.2976, 10.5408, 10.2513, 10.2216, 10.1207, 10.1888, 10.5661, 10.3200, 10.4113, 10.1582, 10.1185, 10.3187, 10.1081, 10.1080, 10.1517, 10.3939, 10.1531, 10.1179, 10.2147, 10.3810, 10.4324, 10.3137, 10.3152, 10.5175, 10.1174, 10.3110, 10.2167, 10.3155, 10.3111, 10.1198, 10.7158, 10.4161;Informa UK Limited;301
10.54663;Instituto Superior de Entre Douro e Vouga;33069
10.54568;Sekolah Tinggi Ilmu Kesehatan As Syifa Kisaran;33073
10.54566;Turkish Academic Studies;33074
10.54565;Journal of Physical Chemistry and Functional Materials;33075
10.54567;University of Science and Technology of Oran Mohamed-Boudiaf;33076
10.53179;EB-Verlag Dr. Brandt;33077
10.1350;Vathek Publishing;309
10.1362;Westburn Publishers;310
10.54656;The University of Alabama, Division of Community Affairs;33078
10.1506, 10.1901, 10.3401, 10.1301, 10.1348, 10.2755, 10.4218, 10.3405, 10.3162, 10.3322, 10.1581, 10.1516, 10.1113, 10.1112, 10.1634, 10.1359, 10.1118, 10.2966, 10.1592, 10.1196, 10.21815, 10.2164, 10.1111, 10.1034, 10.3170, 10.14814, 10.2136, 10.1002, 10.1046, 10.2135, 10.4319, 10.1526, 10.1889, 10.7863, 10.4195, 10.18934, 10.2134, 10.2903, 10.1256, 10.1576, 10.1897, 10.2746, 10.5694, 10.1096, 10.5054, 10.4284, 10.1890, 10.4004, 10.1892;Wiley;311
10.54571;Real Centro Universitario Escorial-Maria Cristina;33080
10.54569;International Conference on Artificial Intelligence and Applied Mathematics in Engineering;33081
10.1250;Acoustical Society of Japan;314
10.54648;Kluwer Law International BV;33083
10.1087;Association of Learned and Professional Society Publishers (ALPSP);315
10.29200, 10.1021, 10.47287, 10.26434;American Chemical Society (ACS);316
10.54573;Suomalainen lakimiesyhdistys;33084
10.54574;Institutul de Cercetare Dezvoltare pentru Protectia Plantelor Bucuresti;33085
10.1063;AIP Publishing;317
10.54572;The Finnish Society of Sciences and Letters;33086
10.14778, 10.1145;Association for Computing Machinery (ACM);320
10.54578;Centro Universitario do Espirito Santo;33088
10.54576;LPPM Sekolah Tinggi Agama Islam Lukman Edy;33089
10.54575;Comite Brasileiro de Historia da Arte;33090
10.54579;Pusat Laboratorium Forensik (Puslabfor) Badan Reserse Kriminal (Bareskrim) Kepolisian Negara Republik Indonesia;33091
10.1033;Ebsco Publishing;324
10.1266;Genetics Society of Japan;326
10.1255;IM Publications Open LLP;327
10.7567, 10.1143;Japan Society of Applied Physics;328
10.1107;International Union of Crystallography (IUCr);329
10.54720, 10.56990;Bilad Alrafidain University College;33098
10.1253;Japanese Circulation Society;330
10.1254;Japanese Pharmacological Society;332
10.54759;Institute of Art History, Czech Academy of Sciences;33101
10.1247;Japan Society for Cell Biology;333
10.1267;Japan Society of Histochemistry & Cytochemistry;334
10.54580;Associacao Multidisciplinar de Investigacao Cientifica;33102
10.1265;Japanese Society for Hygiene;335
10.1264;Japanese Society of Microbial Ecology;336
10.54584;Life and Medical Sciences;33105
10.54592;Sekolah Tinggi Teologi Anugrah Indonesia;33106
10.54593;Akademi Manajemen Informatika dan Komputer Widya Loka Medan;33107
10.24196, 10.1371;Public Library of Science (PLoS);340
10.54595;Economics and Business Faculty, Pertamina University;33108
10.1073;Proceedings of the National Academy of Sciences;341
10.54594;"Publishing Center &quot;Nizhny Novgorod Lawyer&quot;";33109
10.54596;"Non-profit limited company &quot;Manash Kozybayev North Kazakhstan University&quot;";33110
10.54601;Ukrainian Society of Physical and Rehabilitation Medicine;33111
10.1263;Society for Biotechnology, Japan;344
10.54645;Philippine-American Academy of Science and Engineering;33112
10.54872;gta Verlag, ETH Zurich;33113
10.1099;Microbiology Society;345
10.54728;Bangladesh Institute of Capital Market;33114
10.54647;scirea;33115
10.54602;Genc Akademisyenler Birligi Dernegi;33116
10.1262;Japanese Society of Animal Reproduction;349
10.54799;Johanna Mestorf Academy of Kiel University;33117
10.1252;Society of Chemical Engineers, Japan;350
10.1137;Society for Industrial & Applied Mathematics (SIAM);351
10.1387;UPV/EHU Press;352
10.32089;Drukarnia AMW;33120
10.54599;Kulugyi Muhely Alapitvany;33121
10.1511;Sigma Xi;353
10.54598, 10.57021, 10.56617, 10.56616;Magyar Agrar- es Elettudomanyi Egyetem;33122
10.54597;MATE Press;33124
10.1492;University of St. Thomas (Project Muse);357
10.1386;Intellect;358
10.55416;Sunblo LC;33126
10.54822;ICT Institute;33127
10.1493;University of North Carolina Press (Project Muse);360
10.1494;University of Minnesota Press (Project Muse);361
10.54605;Institute for Advanced Research, Shanghai University of Finance and Economics;33129
10.1495;Journal of Social History (George Mason University) (Project Muse);362
10.1496;The Americas (Catholic University) (Project Muse);363
10.1497;Music Library Association (Project Muse);364
10.1498;University of Hawaii Press (Project Muse);365
10.1499;Kent State University Press (Project Muse);366
10.1500;University of Nebraska Press (Project Muse);367
10.1502;Wayne State University Press (Project Muse);369
10.54810;The Australia and New Zealand School of Government (ANZSOG);33137
10.1518;Human Factors and Ergonomics Society;370
10.1490;Indiana University Press (Project Muse);371
10.2202, 10.3884, 10.2478, 10.1524, 10.1515, 10.14432;Walter de Gruyter GmbH;374
10.54617;Ankara Dis Hekimleri Odasi;33142
10.54618;Society for Medical and Allied Health Sciences;33143
10.1512;Indiana University Mathematics Journal;375
10.1489;American Leprosy Missions;376
10.54620;Escola de Saude Publica do Ceara;33144
10.1521;Guilford Publications;377
10.54619;Politeknik Karya Persada Muna;33145
10.1504;Inderscience Publishers;378
10.54621;Institut Agama Islam (IAI) Al-Aziziyah Samalanga Bireuen Aceh;33146
10.1509;American Marketing Association (AMA);379
10.54622;Universitas Nahdlatul Ulama Surakarta;33147
10.1520;ASTM International;381
10.54761;Occupational Therapy, Central University of Chile;33149
10.9778, 10.1503;CMA Impact Inc.;382
10.54625;Sekolah Tinggi Ilmu Ushuluddin Al Mujtama' Pamekasan;33151
10.54628;Faculdade de Tecnologia de Jahu;33152
10.1505;Commonwealth Forestry Association;384
10.1508;International Society of Cytology;385
10.54630;Sekolah Tinggi Ilmu Keperawatan Muhammadiyah Pontianak;33153
10.1507;Japan Endocrine Society;386
10.54629;Direktorat Jenderal Peraturan Perundang-undangan Kementerian Hukum dan Hak Asasi Manusia Republik Indonesia;33154
10.1491;George Washington University Institute for Ethnographic Research (Project Muse);387
10.55137;Sociedad Venezolana de Cirugia y Traumatologia;33155
10.54626;Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Bogor;33156
10.54627;Turkish National Police Academy;33157
10.54631;Far Eastern Studies of the Russian Academy of Sciences;33158
10.1384;Surface Analysis Society of Japan;390
10.54638;Sociedad Ginecotocologica del Uruguay;33159
10.1523;Society for Neuroscience;393
10.54637;Vizetek Publishing Company;33161
10.54634;Faculty of Pharmacy Cairo University;33163
10.54633;Maisan Journal of Academic Studies;33164
10.54643;Journal of Educational Sciences, Prince Sattam bin Abdulaziz University;33171
10.31931, 10.1199, 10.7872, 10.12952, 10.1669;BioOne;404
10.2483, 10.2191, 10.1525;University of California Press;408
10.1527;Japanese Society for Artificial Intelligence;410
10.54660;Anfo Publication House;33178
10.54846;American Association of Swine Veterinarians;33179
10.1532;Carden Jennings Publishing Co.;412
10.54651;"National Scientific Centre &quot;Institute of Agriculture of the National Academy of Agrarian Sciences of Ukraine&quot;";33180
10.54662;Mykolaiv In-Service Teachers Training Institute;33181
10.54668;"Republican State Enterprise &quot;Kazhydromet&quot;";33182
10.54657;Thomas More University of Applied Sciences;33183
10.54650;Lembaga Penelitian, Pengabdian Masyarakat, Penerbitan dan Percetakan Yayasan Sejahtera Bersama Bengkulu;33184
10.1530, 10.1677;Bioscientifica;416
10.1542;American Academy of Pediatrics (AAP);417
10.55017, 10.54659;ULUM Islami Ilimler Egitim ve Arastirma Merkezi Dernegi;33185
10.1553;Osterreichische Akademie der Wissenschaften, Verlag;418
10.54649;Caspian University;33187
10.1535;Intel;419
10.54658;E-SCIENCE SPACE;33188
10.1554;The Society for the Study of Evolution;421
10.1541;Institute of Electrical Engineers of Japan (IEE Japan);422
10.1555;Mars Informatics;424
10.1556;Akademiai Kiado Zrt.;425
10.11139, 10.1558;Equinox Publishing;426
10.54885;University of Bucharest, Faculty of Political Science;33195
10.1560;Laser Pages Publishing Ltd.;428
10.54666;Beam Journal of Economic Studies;33196
10.1559;Cartography and Geographic Information Society (CaGIS);429
10.1562;American Society for Photobiology;430
10.54985;Peeref;33198
10.54739;Peaceful Science;33199
10.54787;Caspian Corrosion Control LLC;33200
10.1561;Now Publishers;432
10.1564;Research Information Ltd.;433
10.54730;AAR Press Limited;33201
10.1563;American Academy of Implant Dentistry;434
10.1540;Japan Society of Smooth Muscle Research;435
10.1539;Japan Society for Occupational Health;436
10.1536;International Heart Journal (Japanese Heart Journal);437
10.1537;Anthropological Society of Nippon;438
10.53178;Kieferorthopadische Interessengemeinschaft e.V.;33207
10.1538;Japanese Association for Laboratory Animal Science;439
10.54937;Catholic University in Ruzomberok;33208
10.54731;European Sustainable Research Outreach;33209
10.54682;Instituto Capixaba de Pesquisa, Assistencia Tecnica e Extensao Rural;33211
10.54684;Asociatia Profesionala in Tehnologii Moderne de Fabricatie;33213
10.54685;The Korean Association for Philosophy of Medicine;33215
10.54686, 10.56000, 10.5216, 10.55746;Universidade Federal de Goias;33216
10.54687;Badan Perencanaan Pembangunan Daerah dan Penelitian dan Pengembangan;33217
10.54689;Editorial Office of Acta of Geoscientific Data & Discovery;33219
10.54698;Liberal Arts Innovation Center;33220
10.55398, 10.54700;Sretenskaya Theological Academy;33221
10.54697;"Limited Liability Company &quot;Center for Social Agroinnovations of SSAU&quot;";33222
10.54696;Irkutsk Scientific Center, Siberian Branch of the Russian Academy of Sciences;33223
10.54910;Society for the Advancement of Breeding Research in Asia and Oceania;33224
10.54691;Boya Century Publishing;33225
10.1577, 10.47886;American Fisheries Society;460
10.54693;Pakistan Institute of Chemical Engineers;33228
10.54690;National Defence University, Islamabad;33229
10.54692;Lahore Garrison University;33230
10.54695;MA-ESKA Editions;33231
10.54705;Daedong Culture Technology Institute;33233
